Question,Answer
What services does your hotel offer?,"Our hotel provides luxurious accommodations, fine dining, spa services, and concierge assistance."
Can I book a room through this chatbot?,"Yes! Please provide your check-in and check-out dates, preferred room type, and any special requests."
What are the check-in and check-out timings?,"Check-in starts at 3:00 PM, and check-out is at 11:00 AM."
Do you offer airport transfers?,"Yes, we provide 24/7 airport pick-up and drop-off services. Would you like to schedule a ride?"
How can I modify my reservation?,You can modify your booking by providing your reservation details.
What are the dining options in the hotel?,"We have a multi-cuisine restaurant, a rooftop bar, and 24/7 room service."
Can I request additional amenities for my stay?,"Certainly! We offer extra towels, pillows, toiletries, and special arrangements for celebrations."
How do I contact hotel staff for urgent needs?,You can connect with the front desk or dial '0' from your room phone.
Do you have pet-friendly rooms?,Yes! We offer pet-friendly accommodations with special amenities.
What attractions are near the hotel?,"Our hotel is close to popular tourist spots including museums, shopping centers, and parks."
How do I provide feedback about my stay?,You can submit feedback through this chatbot or at the front desk upon checkout.
What time does the restaurant open and close?,Our restaurant is open from 7:00 AM to 10:00 PM daily.
Can I see the food menu?,"Sure! We offer continental breakfast, Indian cuisine, Italian dishes, and desserts."
Do you have vegetarian options?,"Yes, we have a variety of vegetarian dishes available."
Can I order food to my room?,Absolutely! You can place room service orders through this chatbot.
What services does your hotel offer?,"Our hotel provides luxurious accommodations, fine dining, spa services, and concierge assistance."
Can I book a room through this chatbot?,"Yes! Please provide your check-in and check-out dates, preferred room type, and any special requests."
What are the check-in and check-out timings?,"Check-in starts at 3:00 PM, and check-out is at 11:00 AM."
Do you offer airport transfers?,"Yes, we provide 24/7 airport pick-up and drop-off services. Would you like to schedule a ride?"
How can I modify my reservation?,You can modify your booking by providing your reservation details.
What are the dining options in the hotel?,"We have a multi-cuisine restaurant, a rooftop bar, and 24/7 room service."
Can I request additional amenities for my stay?,"Certainly! We offer extra towels, pillows, toiletries, and special arrangements for celebrations."
How do I contact hotel staff for urgent needs?,You can connect with the front desk or dial '0' from your room phone.
Do you have pet-friendly rooms?,Yes! We offer pet-friendly accommodations with special amenities.
What attractions are near the hotel?,"Our hotel is close to popular tourist spots including museums, shopping centers, and parks."
How do I provide feedback about my stay?,You can submit feedback through this chatbot or at the front desk upon checkout.
